# Bank`tCallAddress`tKind`tContinuation
1B	A8F3	jsr	A8F6
1B	A9E2	jsr	A9E5
1B	AA20	jsr	AA23
1C	9862	brk	9865
1C	9865	jsr	9868
1C	9868	jsr	986B
1C	986B	jsr	986E
1C	986E	jsr	9871
1C	987A	jsr	987D
1C	987F	jsr	9882
1C	9886	jsr	9889
1C	988B	jsr	988E
1C	98A3	jsr	98A6
1C	98DA	jsr	98DD
1C	98DF	jsr	98E2
1C	98EA	jsr	98ED
1C	98FC	jsr	98FF
1C	9954	jsr	9957
1C	9969	jsr	996C
1C	9976	jsr	9979
1C	9982	jsr	9985
1C	9989	jsr	998C
1C	99B5	jsr	99B8
1C	99BD	jsr	99C0
1C	99D1	jsr	99D4
1C	99DF	jsr	99E2
1C	99E4	jsr	99E7
1C	99F0	jsr	99F3
1C	99FB	jsr	99FE
1C	9A25	jsr	9A28
1C	9A33	jsr	9A36
1C	9A5A	brk	9A5D
1C	9A7F	jsr	9A82
1C	9AC0	jsr	9AC3
1C	9AD4	jsr	9AD7
1C	9AF0	jsr	9AF3
1C	9B00	jsr	9B03
1C	9B26	jsr	9B29
1C	9B30	jsr	9B33
1C	9B49	jsr	9B4C
1C	9B4E	jsr	9B51
1C	9B51	jsr	9B54
1C	9B54	jsr	9B57
1C	9B59	jsr	9B5C
1C	9B79	jsr	9B7C
1C	9BB6	jsr	9BB9
1C	9BC0	jsr	9BC3
1C	9BC6	jsr	9BC9
1C	9C1F	jsr	9C22
1C	9EAB	jsr	9EAE
1C	9EAE	jsr	9EB1
1C	9EB1	jsr	9EB4
1C	A171	brk	A175
1C	A182	brk	A186
1C	A1AA	jsr	A1AD
1C	AD27	jsr	AD2A
1D	8B40	jsr	8B43
1D	8B43	jsr	8B46
1D	BD75	jsr	BD78
1D	BD78	jsr	BD7B
1D	BD7B	jsr	BD7E
1D	BD7E	jsr	BD81
1D	BD81	jsr	BD84
1D	BD98	jsr	BD9B
1D	BDEF	jsr	BDF2
1D	BDF2	jsr	BDF5
1D	BDF5	jsr	BDF8
1D	BDF8	jsr	BDFB
1D	BE01	jsr	BE04
1D	BEA8	jsr	BEAB
1D	BEAB	jsr	BEAE
1E	8090	brk	8093
1E	8093	brk	8096
1E	8096	brk	809A
1E	80BE	jsr	80C1
1E	80C1	jsr	80C4
1E	80CA	jsr	80CD
1E	80E5	jsr	80E8
1E	80EA	jsr	80ED
1E	83D9	jsr	83DC
1E	83E0	jsr	83E3
1E	9088	jsr	908B
1E	908C	jsr	908F
1E	9090	jsr	9093
1E	9093	jsr	9096
1E	9097	jsr	909A
1E	909F	brk	90A2
1E	90A2	jsr	90A5
1E	90C9	jsr	90CC
1E	90CF	jsr	90D2
1E	90D2	jsr	90D5
1E	90E2	jsr	90E5
1E	90E5	brk	90E8
1E	90E8	jsr	90EB
1E	90EB	brk	90EE
1E	958F	jsr	9592
1E	9592	jsr	9595
1E	9595	jsr	9598
1E	95A9	jsr	95AC
1E	95AC	jsr	95AF
1E	95DE	brk	95E2
1E	9648	jsr	964B
1E	964D	jsr	9650
1E	9650	brk	9653
1E	9655	jsr	9658
1E	9658	brk	965B
1E	965D	jsr	9660
1E	9660	brk	9663
1E	9665	jsr	9668
1E	9668	brk	966B
1E	966C	jsr	966F
1E	9695	brk	9698
1E	9F48	jsr	9F4B
1E	9F51	brk	9F54
1E	9F9C	jsr	9F9F
1E	9FA8	jsr	9FAB
1E	9FF1	jsr	9FF4
1E	A010	jsr	A013
1E	A06F	jsr	A072
1E	A076	jsr	A079
1E	A0A7	jsr	A0AA
1E	A0AA	jsr	A0AD
1E	A0AD	brk	A0B0
1E	A161	jsr	A164
1E	A184	jsr	A187
1E	A1B6	jsr	A1B9
1E	A237	brk	A23B
1E	A23D	brk	A241
1E	A243	brk	A247
1E	A249	brk	A24D
1E	A2D4	brk	A2D7
1E	A354	brk	A358
1E	A358	brk	A35B
1E	A372	brk	A375
1E	A375	brk	A378
1E	A38B	jsr	A38E
1E	A391	jsr	A394
1E	A396	brk	A399
1E	A399	brk	A39D
1E	A3BD	jsr	A3C0
1E	A3C0	brk	A3C3
1E	A3C3	brk	A3C6
1E	A3C6	jsr	A3C9
1E	A3C9	jsr	A3CC
1E	A3CC	jsr	A3CF
1E	A3CF	brk	A3D2
1E	A3D2	jsr	A3D5
1E	A3D5	jsr	A3D8
1E	A3D8	brk	A3DC
1E	A41B	brk	A41F
1E	A465	jsr	A468
1E	A468	brk	A46B
1E	A470	jsr	A473
1E	A47A	jsr	A47D
1E	A4A9	jsr	A4AC
1E	A4AC	brk	A4B0
1E	A54C	jsr	A54F
1E	A54F	brk	A553
1E	A553	jsr	A556
1E	A560	brk	A563
1E	A563	jsr	A566
1E	A595	brk	A598
1E	A5EC	brk	A5EF
1E	A607	jsr	A60A
1E	A620	brk	A624
1E	AABE	jsr	AAC1
1E	AAC1	jsr	AAC4
1E	AAC4	jsr	AAC7
1E	AADE	jsr	AAE1
1E	AB12	brk	AB16
1E	AB7E	jsr	AB81
1E	AB90	jsr	AB93
1E	AB95	jsr	AB98
1E	AC96	jsr	AC99
1E	B3ED	jsr	B3F0
1E	B791	jsr	B794
1E	BAEE	jsr	BAF1
1F	C09E	jsr	C0A1
1F	C0BE	jsr	C0C1
1F	C10A	jsr	C10D
